sigOut,sigIn,sigPot
1.313,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,-0.005
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
1.318,1.000,0.000
1.318,1.000,-0.005
1.318,1.000,-0.005
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.313,1.000,-0.005
1.313,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.309,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,-0.005
1.309,1.000,-0.005
1.309,1.000,0.000
1.309,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.299,1.000,0.000
1.299,1.000,0.000
1.299,1.000,0.000
1.299,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.304,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.309,1.000,-0.005
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
1.313,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.318,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.313,1.000,0.000
1.309,1.000,0.000
1.309,1.000,0.000
2.666,2.000,0.000
2.666,2.000,0.000
2.666,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.656,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.656,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.661,2.000,0.000
2.656,2.000,0.000
2.661,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.661,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.656,2.000,0.000
2.651,2.000,0.000
2.656,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.651,2.000,0.000
2.651,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.642,2.000,0.000
2.646,2.000,0.000
2.642,2.000,0.000
2.646,2.000,0.000
2.642,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.646,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.642,2.000,0.000
2.646,2.000,0.000
