time,snimac1_1,snimac2_1,spir_1,vent_1
1187.2,6.2744140625,5.5419921875,2,2
1187.3,6.279296875,5.4736328125,2,2
1187.4,6.3232421875,5.498046875,2,2
1187.5,6.2939453125,5.517578125,2,2
1187.6,6.2646484375,5.4833984375,2,2
1187.7,6.279296875,5.52734375,2,2
1187.8,6.25,5.5712890625,2,2
1187.9,6.2646484375,5.537109375,2,2
1188,6.2890625,5.56640625,2,2
1188.1,6.3232421875,5.517578125,2,2
1188.2,6.2451171875,5.498046875,2,2
1188.3,6.2841796875,5.4736328125,2,2
1188.4,6.2744140625,5.52734375,2,2
1188.5,6.318359375,5.5078125,2,2
1188.6,6.2744140625,5.5810546875,2,2
1188.7,6.2646484375,5.419921875,2,2
1188.8,6.240234375,5.5078125,2,2
1188.9,6.2744140625,5.5419921875,2,2
1189,6.26953125,5.546875,2,2
1189.1,6.2841796875,5.546875,2,2
1189.2,6.318359375,5.5517578125,2,2
1189.3,6.2646484375,5.517578125,2,2
1189.4,6.2548828125,5.537109375,2,2
1189.5,6.2744140625,5.5322265625,2,2
1189.6,6.2939453125,5.537109375,2,2
1189.7,6.3232421875,5.478515625,2,2
1189.8,6.259765625,5.517578125,2,2
1189.9,6.25,5.5517578125,2,2
1190,6.2548828125,5.5224609375,2,2
1190.1,6.2841796875,5.48828125,2,2
1190.2,6.2841796875,5.537109375,2,2
1190.3,6.3134765625,5.517578125,2,2
1190.4,6.2646484375,5.4931640625,2,2
1190.5,6.25,5.4248046875,2,2
1190.6,6.2548828125,5.4443359375,2,2
1190.7,6.2890625,5.5029296875,2,2
1190.8,6.2841796875,5.48828125,2,2
1190.9,6.2646484375,5.4833984375,2,2
1191,6.2646484375,5.5224609375,2,2
1191.1,6.2451171875,5.5126953125,2,2
1191.2,6.259765625,5.498046875,2,2
1191.3,6.30859375,5.537109375,2,2
1191.4,6.2841796875,5.537109375,2,2
1191.5,6.2939453125,5.44921875,2,2
1191.6,6.2744140625,5.4248046875,2,2
1191.7,6.2744140625,5.4541015625,2,2
1191.8,6.30859375,5.556640625,2,2
1191.9,6.328125,5.5126953125,2,2
1192,6.2548828125,5.4638671875,2,2
1192.1,6.2646484375,5.458984375,2,2
1192.2,6.279296875,5.4541015625,2,2
